# Explanation of columns:
# Column  1: 'idx':     index of sequence in input file
# Column  2: 'seqname': name of sequence
# Column  3: 'seqlen':  length of sequence
# Column  4: 'staxid':  taxid of sequence (species level), '-' if all taxid related steps were skipped
# Column  5: 'otaxid':  taxid of sequence (order level), '-' if all taxid related steps were skipped
# Column  6: 'ctaxid':  taxid of sequence (class level), '-' if all taxid related steps were skipped
# Column  7: 'ptaxid':  taxid of sequence (phylum level), '-' if all taxid related steps were skipped
# Column  8: 'p/f':     PASS if sequence passed all filters else FAIL
# Column  9: 'clust':   'R' if sequence selected as representative of a cluster, 'NR' if not
# Column 10: 'special': '-' for all sequences because --special not used
# Column 11: 'failstr': '-' for PASSing sequences, else list of reasons for FAILure, see below
#
# Possible substrings in 'failstr' column 11, each substring separated by ';;':
# 'ambig[<d>]':            contains <d> ambiguous nucleotides, which exceeds maximum allowed
# 'blastrepeat[<s>]':      repetitive sequence identified by blastn
#                          <s> = <s1>,<s2>,...<sI>...<sN> for N >= 1, where
#                          <sI> = <c1>|e=<g1>|len=<d1>|<d2>..<d3>/<d4>..<d5>|pid=<f1>|ngap=<d6>
#                          <c1> = + for positive strand, - for negative strand
#                          <g1> = E-value of hit
#                          <d1> = maximum of query length and subject length in hit alignment
#                          <d2>..<d3> = query coordinates of hit
#                          <d4>..<d5> = subject coordinates of hit
#                          <f1> = fractional identity of hit alignment
#                          <d6> = number of gaps in hit alignment
# 'ribotyper2[<s>]:        ribotyper (riboaligner) failure with unexpected features listed in <s>
#                          see db100novec-p/db100novec-p.ribodbmaker-ra/db100novec-p-ra.ribotyper.long.out
#                          for explanation of unexpected features
# 'riboaligner[<s>]:       riboaligner failure because of sequence length classification
#                          <s>=full-extra:5pins:<d1>:3pins<d2>:
#                                                  alignment spans full model with <d1> > 0 nt extra before first model
#                                                  position and/or <d2> > 0 nt extra after final model position
#                          <s>=full-ambig-more:    alignment spans full model with 0 nt extra on 5' or 3' end but
#                                                  has indels in first and/or final 10 model positions and
#                                                  insertions outnumber deletions at 5' and/or 3' end
#                          <s>=full-ambig-less:    alignment spans full model with 0 nt extra on 5' or 3' end but
#                                                  has indels in first and/or final 10 model positions and
#                                                  and insertions do not outnumber deletions at 5' and/or 3' end
#                          <s>=5flush-extra:5pins<d>:
#                                                  alignment extends to first but not final model position
#                                                  with <d> > 0 nt extra before first model position
#                          <s>=5flush-ambig-more:    alignment extends to first but not final model position
#                                                  and has indels in first 10 model positions and
#                                                  insertions outnumber deletions at 5' end
#                          <s>=5flush-ambig-less:    alignment extends to first but not final model position
#                                                  and has indels in first 10 model positions and
#                                                  insertions do not outnumber deletions at 5' end
#                          <s>=3flush-extra:3pins:<d>:
#                                                  alignment extends to final but not first model position
#                                                  with <d> > 0 nt extra after final model position
#                          <s>=3flush-ambig-more:    alignment extends to final but not first model position
#                                                  and has indels in final 10 model positions and
#                                                  insertions outnumber deletions at 3' end
#                          <s>=3flush-ambig-less:    alignment extends to final but not first model position
#                                                  and has indels in final 10 model positions and
#                                                  insertions do not outnumber deletions at 3' end
# 'mdlspan[<d1>-<d2>]:     alignment of sequence does not span required model positions, model span is <d1> to <d2>
#idx  seqname     seqlen   staxid   otaxid   ctaxid   ptaxid   p/f  clust  special  failstr
38    KX822287.1    1599        -        -        -        -  FAIL      -        -  mdlspan[146-1794];;
39    KM067414.1    1559        -        -        -        -  FAIL      -        -  mdlspan[196-1800];;
40    HQ888690.1    1774        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.977<0.990);];;
41    HM134241.1    1031        -        -        -        -  FAIL      -        -  mdlspan[74-1126];;
42    JN940342.1    1056        -        -        -        -  FAIL      -        -  mdlspan[59-1131];;
43    FJ553065.1    1005        -        -        -        -  FAIL      -        -  ribotyper2[*LowScore:(0.42<0.50);*LowCoverage:(0.360<0.990);*MultipleFamilies:(SSU+LSU,LSU:LSU_rRNA_eukarya:22.5/165-1005:+);];;
44    KC674878.1    1784        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.976<0.990);];;
45    KM492859.1    1246        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.932<0.990);*MultipleHits:(2:SI[M:-1(407..407),S:75(270..344)]);];;
46    AY242195.1    1715        -        -        -        -  PASS      R        -  -
47    KF188426.1    1093        -        -        -        -  FAIL      -        -  mdlspan[39-1153];;
48    AF277017.1    1825        -        -        -        -  PASS      R        -  -
49    EU011680.1    1713        -        -        -        -  PASS      R        -  -
50    KP125031.1    1020        -        -        -        -  FAIL      -        -  mdlspan[75-1115];;
51    KC672190.1    1787        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.973<0.990);];;
52    AB797249.1    1027        -        -        -        -  FAIL      -        -  mdlspan[68-1115];;
53    AM494997.1    1683        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.945<0.990);*MultipleHits:(2:SI[M:-1(1512..1512),S:68(1359..1426)]);];;
54    EF550439.1    1670        -        -        -        -  FAIL      -        -  mdlspan[72-1791];;
55    HG796132.1    1031        -        -        -        -  FAIL      -        -  mdlspan[579-1657];;
56    AB013514.1    1748        -        -        -        -  PASS      R        -  -
57    KT356200.1    1671        -        -        -        -  FAIL      -        -  mdlspan[49-1774];;
58    KX822310.1    1510        -        -        -        -  FAIL      -        -  mdlspan[259-1813];;
59    MF318998.1    1104        -        -        -        -  FAIL      -        -  mdlspan[52-1171];;
60    DQ519026.1    1697        -        -        -        -  FAIL      -        -  mdlspan[76-1816];;
61    FJ554162.1    1107        -        -        -        -  FAIL      -        -  ribotyper2[*LowScore:(0.36<0.50);*LowCoverage:(0.332<0.990);*MultipleHits:(2:SI[M:-7(1680..1686),S:211(195..405)]);*MultipleFamilies:(SSU+LSU,LSU:LSU_rRNA_eukarya:20.3/267-1107:+);];;
62    AY251104.2    1743        -        -        -        -  PASS      R        -  -
63    FJ763542.1    1653        -        -        -        -  PASS      R        -  -
64    HM486991.1    1344        -        -        -        -  FAIL      -        -  mdlspan[322-1726];;
65    KP322969.1    2758        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.628<0.990);*MultipleFamilies:(SSU+LSU,LSU:LSU_rRNA_eukarya:496.3/1387-2758:+);];;
66    KC673971.1    1786        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.978<0.990);];;
67    AB053234.2    1747        -        -        -        -  FAIL      -        -  ambig[7>5];;
68    HQ263224.1    1726        -        -        -        -  PASS      R        -  -
69    JQ302884.1    1802        -        -        -        -  FAIL      -        -  mdlspan[66-1779];;
70    AB746210.1    1677        -        -        -        -  FAIL      -        -  mdlspan[66-1794];;
71    AM268196.1    1766        -        -        -        -  FAIL      -        -  ambig[185>5];;ribotyper2[*LowCoverage:(0.896<0.990);*MultipleHits:(2:NH[M:182(838..1019),S:183(809..991)]);];;
72    AB011052.1    1271        -        -        -        -  FAIL      -        -  ribotyper2[*MultipleHits:(2:NH[M:157(684..840),S:12(643..654)]);];;
73    AY489697.1    1040        -        -        -        -  FAIL      -        -  mdlspan[30-1092];;
74    KJ137258.1    2037        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.789<0.990);*MultipleHits:(2:SI[M:0(1188..1189),S:425(1160..1584)]);];;
75    KT921996.1    1071        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.988<0.990);];;
76    KC680652.1    1107        -        -        -        -  FAIL      -        -  ribotyper2[*UnacceptableModel:(SSU_rRNA_microsporidia);];;
77    EF109869.1    1221        -        -        -        -  FAIL      -        -  mdlspan[409-1670];;
78    KF061201.1    1697        -        -        -        -  FAIL      -        -  mdlspan[75-1829];;
79    KX354828.1    1179        -        -        -        -  FAIL      -        -  mdlspan[476-1710];;
80    DQ354565.3    1730        -        -        -        -  PASS      R        -  -
81    DQ248951.1    1712        -        -        -        -  PASS      R        -  -
82    AB069703.1    1659        -        -        -        -  FAIL      -        -  mdlspan[102-1813];;
83    AY497756.1    1066        -        -        -        -  FAIL      -        -  mdlspan[160-1275];;
84    KC674165.1    1778        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.978<0.990);];;
85    EU754054.1    1020        -        -        -        -  FAIL      -        -  mdlspan[75-1116];;
86    KC672270.1    1743        -        -        -        -  PASS      R        -  -
87    KC672118.1    1784        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.975<0.990);];;
88    JQ260820.1    1712        -        -        -        -  PASS      R        -  -
89    AB797290.1    1023        -        -        -        -  FAIL      -        -  mdlspan[75-1118];;
90    GU126739.1    1040        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.983<0.990);];;
91    AF542179.1    1627        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.979<0.990);];;
92    MF410242.1    1043        -        -        -        -  FAIL      -        -  mdlspan[64-1126];;
93    KC672704.1    1801        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.978<0.990);];;
94    KC670867.1    1765        -        -        -        -  PASS      R        -  -
95    AB018129.2    1766        -        -        -        -  PASS      R        -  -
96    MG829134.1    1057        -        -        -        -  FAIL      -        -  mdlspan[46-1123];;
97    AY426952.1    1656        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.983<0.990);];;
98    JX403626.1    1394        -        -        -        -  FAIL      -        -  mdlspan[251-1704];;
99    EU909435.1    1798        -        -        -        -  FAIL      -        -  ambig[14>5];;ribotyper2[*NoHits;];;
100   EF550483.1    1666        -        -        -        -  FAIL      -        -  mdlspan[72-1793];;
